🔵 DB Name (A),🟢 Category (B),🟡 Correct Product Name (C),🟡 Brand (D),🟢 VAT% (E),🟢 Base Unit (F),🟢 Base Cost KES (G),🟢 Base Sell KES (H),🟢 Base Stock (I),🟡 Barcode (J),🟢 L1 Pack Name (K),🟠 L1 Qty in Base (L),🟢 L1 Cost KES (M),🟢 L1 Sell KES (N),🟢 L1 Stock (O),🟢 L2 Pack Name (P),🟠 L2 Qty in L1 (Q),🟢 L2 Cost KES (R),🟢 L2 Sell KES (S),🟢 L2 Stock (T),🟡 Reorder Point (U),🟡 Lead Time Days (V),System Notes (W — do not edit)
Riva Maize Flour 1Kg,Staples - Flour & Ugali,,,16,Carton,1300,1350,0,,,,,,,Carton,,1300,1350,0,,,
Rollana Chocolate Wafer,Beverages - Soda,,,16,Piece,550,650,15,,,,,,,Carton,,5200,8000,1.5,,,
RORO CAKE 6*24P,Snacks - Cakes & Donuts,,,16,Box,550,600,0,,Box,24,550,600,0,Carton,,3300,3500,0,,,"Name contains ""*24P"" — suggests 24 units per pack — pre-filled as L1 qty"
ROSA LINDA FUSULI -STT,Staples - Pasta & Noodles,,,16,Piece,92,112,3,,,,,,,Carton,,1850,2250,0.2,,,
ROSA LINDA M BIG SB3,Staples - Pasta & Noodles,,,16,Carton,1900,2000,0,,,,,,,Carton,,1900,2000,0,,,
ROSA LINDA M BIG STT,Staples - Pasta & Noodles,,,16,Piece,92,110,4497.5,,,,,,,Carton,,1850,2200,224.9,,,
ROSA LINDA M CIDI -STT,Staples - Pasta & Noodles,,,16,Piece,92,110,60.5,,,,,,,Carton,,1850,2200,3,,,
ROSA LINDA M CIDI SB3,Staples - Pasta & Noodles,,,16,Carton,1900,2000,0,,,,,,,Carton,,1900,2000,0,,,
ROSA LINDA M SMOLL SB3,Staples - Pasta & Noodles,,,16,Carton,1900,2000,0,,,,,,,Carton,,1900,2000,0,,,
ROSA LINDA SMOLL STT,Other - General Merchandise,,,16,Piece,92,110,1672,,,,,,,Carton,,1850,2200,83.6,,,
ROSA LINDA SP STT,Staples - Pasta & Noodles,,,16,Piece,88,195,4379,,,,,,,Carton,,1750,3900,218.9,,,
ROSA RICE 25KG STT,Staples - Rice,,,0,Kilogram (1kg),140,192,54.8,,,,,,,Bag,,3500,4800,2.2,,,
ROSA RICE 4*10KG STT,Staples - Rice,,,0,Piece,1575,1500,0,,,,,,,Bag,4,6300,6800,0,,,"Name contains ""4*10KG"" — suggests 4 units per pack — pre-filled as L2 qty"
ROSALINDA M CIDI SB3,Staples - Pasta & Noodles,,,16,Carton,1900,2000,0,,,,,,,Carton,,1900,2000,0,,,
ROSALINDA M SMALL SB3,Other - General Merchandise,,,16,Carton,1900,2000,0,,,,,,,Carton,,1900,2000,0,,,
ROSALINDA SP SB3,Staples - Pasta & Noodles,,,16,Carton,1800,2000,0,,,,,,,Carton,,1800,2000,0,,,
ROSHA FUSULI 20*500G,Staples - Pasta & Noodles,,,16,Piece,98,60,3,,,,,,,Carton,20,1950,2000,0.2,,,"Name contains ""20*500G"" — suggests 20 units per pack — pre-filled as L2 qty"
ROSHA M BIG STT,Other - General Merchandise,,,16,Piece,97,100,87,,,,,,,Carton,,1950,2000,4.3,,,
ROSHA M CIDI,Staples - Pasta & Noodles,,,16,Piece,90,150,12,,,,,,,Carton,,1800,2100,0.6,,,
ROSHA M SMOL,Other - General Merchandise,,,16,Piece,85,100,4,,,,,,,Carton,,1700,2000,0.2,,,
ROSHA SP 20*500G SB3,Staples - Pasta & Noodles,,,16,Carton,1050,1100,0,,,,,,,Carton,20,1050,1100,0,,,"Name contains ""20*500G"" — suggests 20 units per pack — pre-filled as L2 qty"
ROSHA SP STT,Staples - Pasta & Noodles,,,16,Piece,97,110,0,,,,,,,Carton,,1949,2200,0,,,
Rosso Tomato Paste 380g,Tomato Paste & Sauce,,,16,Piece,83,88,242,,,,,,,Carton,,2000,2100,10.1,,,
ROSY SEVEIRT SB3,Staples - Flour & Ugali,,,16,Carton,1218,3450,0,,,,,,,Carton,,1218,3450,0,,,
ROSY TISH 18 STT,Household - Paper Products,,,16,Carton,1271,1700,14,,,,,,,Carton,,1271,1700,14,,,
ROUSHAN HAIR TREATMENT,Personal Care - Hair Care,,,16,Piece,195,250,26,,,,,,,Carton,,4680,6000,1.1,,,
ROUYATEEC PERFUM,Other - General Merchandise,,,16,Piece,1150,1500,0,,,,,,,,,,,,,,
Royal Fruit Juice Powder,Beverages - Juice & Drinks,,,16,Piece,550,390,0,,,,,,,Carton,,5500,6000,0,,,
Royal Fruit Juice Powder 2.5Kg,Beverages - Juice & Drinks,,,16,Piece,1083,1167,117,,,,,,,Carton,,6500,7000,19.5,,,
Royal Fruit Juice Powder 900g,Beverages - Juice & Drinks,,,16,Piece,383,500,67,,,,,,,Carton,,4600,5500,5.6,,,
Royale Garden Mushroom Soy Sauce 625ml,Condiments - Sauces,,,16,Piece,250,300,0,,,,,,,Carton,,3000,2800,0,,,
ROYCO 12*500G,Condiments - Soup & Stock,,,16,Piece,280,350,8,,,,,,,Carton,12,3355,2950,0.7,,,"Name contains ""12*500G"" — suggests 12 units per pack — pre-filled as L2 qty"
ROYCO 24*200G,Condiments - Soup & Stock,,,16,Piece,154,2750,73,,,,,,,Carton,24,3684,3500,3,,,"Name contains ""24*200G"" — suggests 24 units per pack — pre-filled as L2 qty"
ROYCO CUB 24PC STT,Condiments - Soup & Stock,,,16,Piece,108,146,1979,,,,,,,Carton,,2597,3500,82.5,,,
ROYCO SECHERT-STT,Condiments - Soup & Stock,,,16,Carton,513,600,0,,,,,,,Carton,,513,600,0,,,
ROYS CAKE 4*36PCS,Snacks - Cakes & Donuts,,,16,Piece,1325,1500,5,,,,,,,Carton,36,5300,6000,1.3,,,"Name contains ""36PCS"" — suggests 36 units per pack — pre-filled as L2 qty"
S26 1,Baby Care - Infant Formula,,,0,Piece,1750,1900,51,,,,,,,Carton,,21000,25000,4.3,,,
S26 1-STT,Baby Care - Infant Formula,,,0,Piece,1750,2083,1,,,,,,,Carton,,21000,25000,0.1,,,
S26 2,Baby Care - Infant Formula,,,0,Piece,1750,2000,24,,,,,,,Carton,,21000,25000,2,,,
SA,Other - General Merchandise,,,16,Kilogram (10kg),500,100,0,,Box,,500,100,0,Carton,,500,100,0,,,
SAAD TENDE 10KG STT,Other - General Merchandise,,,16,Kilogram (1kg),240,300,2768.7,,,,,,,Carton,,2400,3000,276.9,,,
SABIIB,Other - General Merchandise,,,16,Kilogram (0.5kg),150,1000,0,,,,,,,Carton,,3000,20000,0,,,
SABIIB 10KG,Other - General Merchandise,,,16,Kilogram (1kg),540,500,0,,,,,,,Carton,,5400,5000,0,,,
Safari Exercise Book 120 Pages,Stationery,,,16,Carton,5693,8000,5.9,,Outer,,367,516,90.8,Carton,,5693,8000,5.9,,,
Safari Exercise Book 80 Pages,Stationery,,,16,Carton,4900,5100,4.1,,Outer,,233,195,86,Carton,,4900,5100,4.1,,,
SAFARILAND 25KG,Other - General Merchandise,,,16,Bag,12500,14500,0,,,,,,,Bag,,12500,14500,0,,,
SAFFY IOL 250ML,Cooking Oil,,,16,Piece,166,250,0,,,,,,,Carton,,3986,4500,0,,,
SAFISHA COLOURED 4*5LTR,Canned & Preserved - Fish,,,16,Piece,788,1750,2,,,,,,,Carton,4,3150,7000,0.5,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
SAFISHA REGULAR 4*5LTR,Canned & Preserved - Fish,,,16,Piece,567,800,27,,,,,,,Carton,4,2268,3000,6.8,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
SAFY 10KG`SB3,Other - General Merchandise,,,16,Bag,880,1000,0,,,,,,,Bag,,880,1000,0,,,
SAFY 10KG`STT,Other - General Merchandise,,,16,Bag,840,950,0,,,,,,,Bag,,840,950,0,,,
Saha Infant Formula Stage 1,Baby Care - Infant Formula,,,16,Carton,9000,9500,0,,,,,,,Carton,,9000,9500,0,,,
Saha Infant Formula Stage 3,Baby Care - Infant Formula,,,16,Piece,350,750,0,,,,,,,,,,,,,,
SAHAL RICE 25KG,Staples - Rice,,,16,Kilogram (1kg),142,3800,0,,,,,,,Bag,,3550,3800,0,,,
SAHAL RICE 25KG SB3,Staples - Rice,,,16,Bag,3550,3600,0,,,,,,,Bag,,3550,3600,0,,,
SAHARA OLIVE 12*500ML,Cooking Oil,,,16,Piece,375,500,7,,,,,,,Carton,12,4500,5000,0.6,,,"Name contains ""12*500ML"" — suggests 12 units per pack — pre-filled as L2 qty"
SALAAM RICE 25KG STT,Staples - Rice,,,0,Kilogram,154,200,800,,,,,,,Bag,,3862,4050,32,,,
Salama Oats 1KG,Breakfast - Cereals,,,16,Piece,272,311,209,,,,,,,Carton,,2452,2800,23.2,,,
SALIT 10LTR SB3,Other - General Merchandise,,,16,Piece,2530,3000,1,,,,,,,,,,,,,,
SALIT 10LTR STT,Other - General Merchandise,,,16,Piece,2538,3000,0,,,,,,,,,,,,,,
SALIT 20LTR STT,Other - General Merchandise,,,16,Piece,4780,5800,0,,,,,,,,,,,,,,
SALIT 4*5LTR STT,Other - General Merchandise,,,16,Piece,1395,1238,0,,,,,,,Carton,4,5580,4950,0,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
Saloon Bar Soap 75g,Personal Care - Soap,,,16,Piece,30,150,0,,,,,,,,,,,,,,
SALOON HAND GEL,Other - General Merchandise,,,16,Outer,220,300,0,,Outer,,220,300,0,,,,,,,,
SALOON SHAWER GEL 750,Other - General Merchandise,,,16,Piece,160,350,0,,,,,,,,,,,,,,
SALOON SHAWER GEN 500ML,Other - General Merchandise,,,16,Piece,160,250,0,,,,,,,,,,,,,,
SALWA  OIL 20LTR  SB3,Cooking Oil,,,16,Jerry Can,2270,2450,0,,,,,,,Jerry Can,,2270,2450,0,,,
SALWA 10KG,Other - General Merchandise,,,16,Carton,800,1210,0,,,,,,,Carton,,800,1210,0,,,
SALWA 10LTR,Other - General Merchandise,,,16,Piece,2000,2200,0,,,,,,,,,,,,,,
SAMAD RICE 25KG,Staples - Rice,,,16,Bag,2850,2850,0,,,,,,,Bag,,2850,2850,0,,,
SAMLI 10KG SB3,Staples - Flour & Ugali,,,16,Jerry Can,870,1300,0,,,,,,,Jerry Can,,870,1300,0,,,
SAMLI 5KG,Staples - Flour & Ugali,,,16,Carton,600,700,0,,,,,,,Carton,,600,700,0,,,
Samwa Hot Tomato Ketchup 250g,Tomato Paste & Sauce,,,16,Piece,375,450,24,,,,,,,Carton,,3750,4500,2.4,,,
SANA RICE 25KG SB3,Staples - Rice,,,16,Bag,3250,3500,0,,,,,,,Bag,,3250,3500,0,,,
SANA RICE 25KG STT,Staples - Rice,,,16,Kilogram (1kg),133,120,0,,,,,,,Bag,,3330,3000,0,,,
Santa Lucia Farfalle Pasta 500g,Staples - Pasta & Noodles,,,16,Piece,95,100,0,,,,,,,Carton,,1900,2000,0,,,
SANTA MARIA LIGHT 24*620ML,Other - General Merchandise,,,16,Piece,220,417,29,,,,,,,Carton,24,5280,10000,1.2,,,"Name contains ""24*620ML"" — suggests 24 units per pack — pre-filled as L2 qty"
Santa Maria Pasta Spaghetti 400g,Staples - Pasta & Noodles,,,16,Piece,1750,2000,26,,,,,,,Carton,,10500,12500,4.3,,,
SANTO SPAGHETTI,Staples - Pasta & Noodles,,,16,Piece,90,110,951,,,,,,,Carton,,1800,2200,47.5,,,
SAREN 20*1KG,Staples - Flour & Ugali,,,0,Kilogram (1kg),162,175,269,,,,,,,Carton,20,3231,3500,13.4,,,"Name contains ""20*1KG"" — suggests 20 units per pack — pre-filled as L2 qty"
Sasini Instant Coffee 50g,Beverages - Coffee,,,16,Piece,125,1900,0,,,,,,,,,,,,,,
Saudia Milk Powder 2.5Kg,Dairy - Milk,,,0,Piece,2717,2667,12,,,,,,,Carton,,16300,16000,2,,,
SAULA ECLAIRS,Snacks - Candy & Sweets,,,16,Piece,320,344,1,,,,,,,Carton,,5120,5500,0.1,,,
SAVANA M BIG,Other - General Merchandise,,,16,Kilogram (1kg),165,180,0,,,,,,,Carton,,1650,1800,0,,,
SAVANA M CIDI,Staples - Pasta & Noodles,,,16,Piece,88,150,0,,,,,,,Carton,,1750,1800,0,,,
SAVANA M SMOLL 20*50,Other - General Merchandise,,,16,Kilogram (1kg),190,200,0,,,,,,,Carton,,1900,2000,0,,,
SAVANA SP,Other - General Merchandise,,,16,Kilogram (0.5kg),65,80,0,,,,,,,Carton,,1300,1450,0,,,
Sawa Bar Soap 225g,Personal Care - Soap,,,16,Piece,62,100,176,,,,,,,Carton,,1490,1650,7.3,,,
SAYONA FRUITES 24,Other - General Merchandise,,,0,Box,650,600,2,,Box,,650,600,2,,,,,,,,
SAYONA PAWA ENERGY 12PC,Other - General Merchandise,,,16,Box,300,650,0,,Box,12,300,650,0,,,,,,,,"Name contains ""12PC"" — suggests 12 units per pack — pre-filled as L1 qty"
SEAGUL FAT 10KG,Cooking - Fats & Margarine,,,16,Carton,980,1200,0,,,,,,,Carton,,980,1200,0,,,
SEASON 10KG STT,Staples - Flour & Ugali,,,16,Kilogram,98,120,12,,,,,,,Bag,,982,1150,1.2,,,
SELECTION OIL 12*1LTRE,Cooking Oil,,,16,Piece,1085,1200,0,,,,,,,,,,,,,,
Sensual Shampoo 100ml,Personal Care - Hair Care,,,16,Piece,250,350,0,,,,,,,,,,,,,,
Sensual Shampoo 1L,Personal Care - Hair Care,,,16,Piece,290,400,0,,,,,,,Carton,,3000,3500,0,,,
SESAME OIL 12*625,Cooking Oil,,,16,Piece,600,750,0,,,,,,,Carton,,7200,9000,0,,,
SESIA Pure Honey 500g,Condiments - Honey & Spreads,,,16,Piece,265,550,0,,,,,,,Carton,,4200,45600,0.8,,,
SGA SERVICE,Other - General Merchandise,,,16,Piece,1000,1100,0,,,,,,,,,,,,,,
Shaafi Tomato Paste 50g,Tomato Paste & Sauce,,,16,Carton,1000,1050,0,,Outer,,250,300,0,Carton,,1000,1050,0,,,
SHABEEL RICE 25K STT,Staples - Rice,,,0,Kilogram (1kg),158,200,84.7,,,,,,,Bag,,3950,4800,3.4,,,
SHAHIIM PERFUME,Personal Care - Perfume,,,16,Piece,1100,1500,2,,,,,,,,,,,,,,
SHAM RICE 25KG STT,Staples - Rice,,,16,Kilogram (1kg),128,128,0,,,,,,,Bag,,3200,3400,0,,,
SHAM RICE25KG SB3,Staples - Rice,,,16,Bag,2800,3100,0,,,,,,,Bag,,2800,3100,0,,,
SHAMPART JUICE 6*2.5KG,Beverages - Juice & Drinks,,,16,Piece,1000,1500,13,,,,,,,Carton,6,6000,6500,2.2,,,"Name contains ""6*2.5KG"" — suggests 6 units per pack — pre-filled as L2 qty"
SHAMPOO 4*5LITER,Personal Care - Hair Care,,,16,Piece,190,262,0,,,,,,,,,,,,,,
SHAMPOO 5LTR NIHAAL,Personal Care - Hair Care,,,16,Piece,575,650,0,,,,,,,Carton,,2300,2500,0,,,
SHAMPOO 5LTR-STT,Personal Care - Hair Care,,,16,Piece,212,250,64,,,,,,,Carton,,850,950,16,,,
SHARAL ASSAL ATAR,Other - General Merchandise,,,16,Piece,850,900,0,,,,,,,,,,,,,,
SHAWA GEL. FLOWER 750ML,Other - General Merchandise,,,16,Piece,160,312,0,,,,,,,Carton,,3840,7500,0,,,
SHAWER JEL SHMPO24*1380ML,Other - General Merchandise,,,16,Piece,290,400,0,,,,,,,Carton,24,6960,7300,0,,,"Name contains ""24*1380ML"" — suggests 24 units per pack — pre-filled as L2 qty"
SHERBET BODY SCRUB,Other - General Merchandise,,,16,Piece,180,250,0,,,,,,,Carton,,8640,9500,0,,,
SHIFA UGALI 2KG SB3,Staples - Flour & Ugali,,,16,Bale,1550,1650,0,,,,,,,Bale,,1550,1650,0,,,
SHIFA UGALI 2KG STT,Staples - Flour & Ugali,,,0,Piece,133,208,0,,,,,,,Bale,,1600,2500,0,,,
SHINE STAR SPONJE,Household - Sponge & Cleaning Tools,,,0,Piece,92,150,274,,Outer,,1100,1200,22.8,,,,,,,,
Shortcake Biscuits 4 Pieces,Snacks - Biscuits & Cookies,,,16,Carton,190,250,0,,,,,,,Carton,4,190,250,0,,,"Name contains ""4 Pieces"" — suggests 4 units per pack — pre-filled as L2 qty"
Shujaa Biscuits 72 Pieces,Snacks - Biscuits & Cookies,,,16,Box,210,300,2,,Box,72,210,300,2,,,,,,,,"Name contains ""72 Pieces"" — suggests 72 units per pack — pre-filled as L1 qty"
SHUMAC BIG CANDLES-STT,Household - Candles & Matches,,,16,Carton,490,650,0,,,,,,,Carton,,490,650,0,,,
SIENA ELBOW STT,Staples - Pasta & Noodles,,,16,Kilogram (1kg),145,150,0,,,,,,,Carton,,1450,1500,0,,,
SIENA SP 500G STT,Staples - Pasta & Noodles,,,16,Piece,60,80,0,,,,,,,Carton,,1198,1600,0,,,
SIFA TISH 18 STT,Household - Paper Products,,,16,Carton,1180,1500,0,,,,,,,Carton,,1180,1500,0,,,
SIFA TISH 18S STT,Household - Paper Products,,,16,Box,1080,1500,52,,Box,,1080,1500,52,,,,,,,,
SIHAM SHARBATI 25KG SB3,Other - General Merchandise,,,0,Bag,3300,3500,0,,,,,,,Bag,,3300,3500,0,,,
SILENT PERFUME,Personal Care - Perfume,,,16,Piece,950,1500,1,,,,,,,,,,,,,,
Sileo Natural Fine Salt 500g,Staples - Salt,,,16,Piece,250,500,0,,,,,,,,,,,,,,
SIMA UGALI12*2KG,Staples - Flour & Ugali,,,16,Box,970,1500,0,,Box,12,970,1500,0,,,,,,,,"Name contains ""12*2KG"" — suggests 12 units per pack — pre-filled as L1 qty"
SIMBA ENERGY,Other - General Merchandise,,,16,Box,210,500,0,,Box,,210,500,0,,,,,,,,
Simba Mbili Curry Powder 10g,Condiments - Spices,,,0,Piece,110,150,19,,Outer,,88,100,454,Carton,,1050,1200,37.8,,,
SISI CAKE 36P,Snacks - Cakes & Donuts,,,16,Box,900,1250,0,,Box,,900,1250,0,,,,,,,,
SITA WARDAT ATAR,Other - General Merchandise,,,16,Piece,850,950,0,,,,,,,,,,,,,,
SKIN DOCTOR SCRUB 24P,Personal Care - Skin Care,,,16,Piece,300,350,155,,,,,,,Carton,,7200,8000,6.5,,,
Slim Green Tea 180g,Beverages - Tea,,,0,Piece,580,650,0,,,,,,,,,,,,,,
SMA Gold 1 First Infant Milk 800g,Dairy - Milk,,,0,Piece,2167,3333,54,,,,,,,Carton,,13000,20000,9,,,
SMA Gold 2 Follow On Milk 800g,Dairy - Milk,,,0,Piece,2167,3000,60,,,,,,,Carton,,13000,18000,10,,,
SMA Gold 3 Growing Up Milk 800g,Dairy - Milk,,,16,Piece,2167,3000,13,,,,,,,Carton,,13000,18000,2.2,,,
SMA NO2 12*400G,Other - General Merchandise,,,16,Carton,14800,15000,0,,,,,,,Carton,12,14800,15000,0,,,"Name contains ""12*400G"" — suggests 12 units per pack — pre-filled as L2 qty"
SMILE CHOCOLETE,Snacks - Chocolate,,,16,Carton,5900,6500,0,,Outer,,246,271,0,Carton,,5900,6500,0,,,
SMILE STRAWBERY,Snacks,,,16,Carton,5900,6500,0,,Outer,,246,350,0,Carton,,5900,6500,0,,,
SNICKERS12*24*50G,Snacks - Chocolate,,,16,Carton,24000,25000,0,,Outer,24,2000,2100,0,Carton,,24000,25000,0,,,"Name contains ""24*50G"" — suggests 24 units per pack — pre-filled as L1 qty"
SO SOFT FS FRESH 4*5LTRS,Household - Tissue,,,16,Piece,727,850,0,,,,,,,Carton,4,2909,3500,0,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
SO SOFT FS FRESH 6*2.5LTR,Household - Tissue,,,16,Piece,414,583,0,,,,,,,Carton,6,2486,3500,0,,,"Name contains ""6*2.5L"" — suggests 6 units per pack — pre-filled as L2 qty"
SOFIA M SMALL STT,Other - General Merchandise,,,16,Piece,70,,0,,,,,,,Carton,,1400,1600,0,,,
SOFKEN TISSUE18PCS,Household - Paper Products,,,16,Carton,1080,1200,2,,,,,,,Carton,18,1080,1200,2,,,"Name contains ""18PCS"" — suggests 18 units per pack — pre-filled as L2 qty"
Soft N Secure Baby Diapers Large,Baby Care - Diapers,,,16,Piece,542,583,1,,,,,,,Bale,,3250,3500,0.2,,,
Soft N Secure Baby Diapers Medium,Baby Care - Diapers,,,16,Piece,542,583,0,,,,,,,Bale,,3250,3500,0,,,
Soft N Secure Baby Diapers Small,Baby Care - Diapers,,,16,Piece,542,583,7,,,,,,,Bale,,3250,3500,1.2,,,
Soft N Secure Baby Diapers XL,Baby Care - Diapers,,,16,Piece,542,583,0,,,,,,,Bale,,3250,3500,0,,,
Softcare Baby Diapers,Baby Care - Diapers,,,16,Piece,628,667,25,,,,,,,Carton,,3784,4000,5,,,
Softcare Baby Wipes 80 Pieces,Baby Care - Diapers,,,16,Piece,123,133,241,,,,,,,Carton,80,3100,4000,0,,,"Name contains ""80 Pieces"" — suggests 80 units per pack — pre-filled as L2 qty"
SOFTCARE JUMBO L SB3,Baby Care - Diapers,,,16,Carton,3150,3250,0,,,,,,,Carton,,3150,3250,0,,,
SOFTCARE JUMBO NO3 SB3,Baby Care - Diapers,,,16,Bale,3150,3250,0,,,,,,,Bale,,3150,3250,0,,,
SOFTCARE JUMBO S STT,Baby Care - Diapers,,,16,Piece,788,1125,0,,,,,,,Carton,,3150,4500,0,,,
SOFTCARE JUMBO XL STT,Baby Care - Diapers,,,16,Piece,788,1200,0,,,,,,,Carton,,3150,4500,0,,,
SOFTCARE MIDI3 42 STT,Baby Care - Diapers,,,16,Piece,631,650,45,,,,,,,Carton,,3786,4000,7.5,,,
Softcare Premium Diapers Small 3-6kg 69 Count,Baby Care - Diapers,,,16,Piece,600,650,16,,,,,,,Bale,,3600,3800,0.8,,,
SOFTCTARE JUMBO 4 STT,Household - Tissue,,,16,Piece,788,3250,0,,,,,,,Bale,,3150,13000,0,,,
SOJA 10LTR SB3,Other - General Merchandise,,,16,Jerry Can,2530,2600,11,,,,,,,Jerry Can,,2530,2600,11,,,
SOJA 10LTR STT,Cooking Oil,,,16,Piece,2530,2600,5,,,,,,,,,,,,,,
SOKO UGALI 1*24KG,Staples - Flour & Ugali,,,16,Carton,1610,1400,0,,,,,,,Carton,,1610,1400,0,,,
SOKO UGALI 2KG,Staples - Flour & Ugali,,,16,Piece,13,150,0,,Packet,,118,123,0,Carton,,1420,1480,0,,,
SOLO SHAMPOO 12*1LTR,Personal Care - Hair Care,,,16,Piece,475,550,64,,,,,,,Carton,12,5700,6500,5.3,,,"Name contains ""12*1L"" — suggests 12 units per pack — pre-filled as L2 qty"
SOLY JUICE 27*200ML,Beverages - Juice & Drinks,,,16,Carton,750,2500,0,,,,,,,Carton,27,750,2500,0,,,"Name contains ""27*200ML"" — suggests 27 units per pack — pre-filled as L2 qty"
Somo Fry Cooking Oil 5L,Cooking Oil,,,16,Piece,400,600,0,,,,,,,Carton,,4530,6000,0,,,
Somo Fry Vegetable Cooking Oil 20L,Cooking Oil,,,16,Piece,4920,4500,0,,,,,,,,,,,,,,
Somo Fry Vegetable Cooking Oil 5L,Cooking Oil,,,16,Piece,1150,1500,0,,,,,,,Carton,,4600,6000,0,,,
SONADOL,Other - General Merchandise,,,16,Carton,8350,9500,0,,,,,,,Carton,,8350,9500,0,,,
SPACE  XL 60 PCS STT,Other - General Merchandise,,,16,Piece,970,1125,14,,,,,,,Bale,,3880,4500,3.5,,,
SPACE L 64PCS STT,Other - General Merchandise,,,16,Piece,970,1125,13,,,,,,,Bale,,3880,4500,3.3,,,
Space Softcare Baby Diapers,Baby Care - Diapers,,,16,Bale,3850,4150,62,,,,,,,Bale,,3850,4150,62,,,
Space Softcare Baby Diapers Medium,Baby Care - Diapers,,,16,Piece,975,1000,12,,,,,,,Bale,,3850,4500,2,,,
Space Softcare Baby Diapers Small,Baby Care - Diapers,,,16,Piece,955,1000,40,,,,,,,Carton,,3822,4000,10,,,
Sparoni Spaghetti Pasta 500g,Staples - Pasta & Noodles,,,16,Piece,85,100,623,,,,,,,Carton,,1700,2000,31.1,,,
STAR SOFT 5LTR,Household - Tissue,,,16,Piece,1252,1350,6,,,,,,,Carton,,5008,5500,1.5,,,
STAR SOFT 9*2LTR,Household - Tissue,,,16,Piece,649,689,82,,,,,,,Carton,9,5838,6200,9.1,,,"Name contains ""9*2L"" — suggests 9 units per pack — pre-filled as L2 qty"
Star Soft Fabric Softener 2L,Cleaning - Fabric Softener,,,16,Piece,500,650,2,,Box,,4500,5000,0.2,,,,,,,,
Star Soft Fabric Softener 400ml,Cleaning - Fabric Softener,,,16,Piece,108,110,0,,,,,,,,,,,,,,
Star Soft Fabric Softener 5L,Cleaning - Fabric Softener,,,16,Piece,730,1200,29,,Box,,2920,4800,7.3,,,,,,,,
STAR SOFT SEACHET 20ML,Household - Tissue,,,16,Outer,140,,0,,Outer,,140,,0,,,,,,,,
STEAM BLUE 12*400ML,Beverages - Tea,,,16,Box,520,500,11,,Box,12,520,500,11,,,,,,,,"Name contains ""12*400ML"" — suggests 12 units per pack — pre-filled as L1 qty"
Steam Brown Sauce 400ml,Beverages - Tea,,,16,Carton,520,600,0,,,,,,,Carton,,520,600,0,,,
STEEL  WOOL 20*30 SB3,Household - Sponge & Cleaning Tools,,,16,Bale,2720,2700,0,,,,,,,Bale,,2720,2700,0,,,
STEEL WOOL 20*30 STT,Household - Sponge & Cleaning Tools,,,16,Bale,2850,3100,17.3,,Outer,,142,200,345,Bale,,2850,3100,17.3,,,
STEELEX-STT,Other - General Merchandise,,,16,Piece,60,100,336,,Outer,,720,1200,28,,,,,,,,
STICK COCO CHOCOLATE 6*24,Beverages - Soda,,,16,Carton,2483,2650,0,,Outer,,414,500,0,Carton,,2483,2650,0,,,
STRAW  WHITE 24,Other - General Merchandise,,,16,Carton,1000,1150,0,,Outer,,42,1150,0,Carton,,1000,1150,0,,,
STRONG TEETH EXTRA FRESH,Other - General Merchandise,,,16,Piece,41,46,0,,Dozen (12),,488,550,0,,,,,,,,
STUM 12*500,Other - General Merchandise,,,16,Piece,8,100,0,,Box,,100,250,0,,,,,,,,
SUAVE PERFUME,Personal Care - Perfume,,,16,Piece,900,1500,0,,,,,,,,,,,,,,
SULDANUL QULUUB FARFUM,Other - General Merchandise,,,16,Piece,1100,1500,0,,,,,,,,,,,,,,
SULTAN AL SHABAB PARFUM,Other - General Merchandise,,,16,Piece,680,1000,0,,,,,,,,,,,,,,
SULTAN HAREEM PERFUME,Personal Care - Perfume,,,16,Piece,900,1800,1,,,,,,,,,,,,,,
SUMAR SHAMPOO 400ML-STT,Personal Care - Hair Care,,,16,Piece,90,150,0,,,,,,,Carton,,4320,4850,0,,,
Sun Ice Fruit Juice,Beverages - Juice & Drinks,,,16,Box,720,780,0,,Box,,720,780,0,,,,,,,,
SUN SP 500G STT,Staples - Pasta & Noodles,,,16,Carton,1300,1350,0,,,,,,,Carton,,1300,1350,0,,,
SUN TOP 125M,Other - General Merchandise,,,16,Box,355,450,0,,Box,,355,450,0,,,,,,,,
SUN TOP 250M,Other - General Merchandise,,,16,Box,655,720,0,,Box,,655,720,0,,,,,,,,
Sunar Pomace Olive Cooking Oil 1L,Cooking Oil,,,16,Piece,575,700,0,,,,,,,Carton,,6900,7500,0,,,
SUNAR SONFLOWER OIL3LTR,Cooking Oil,,,16,Piece,617,750,0,,,,,,,Carton,,3700,3850,0,,,
SUNLIGHT 144**40GCT,Other - General Merchandise,,,16,Carton,1130,1200,0,,,,,,,Carton,,1130,1200,0,,,
SUNLIGHT 4*3-5KG STT,Cleaning - Bleach & Disinfectant,,,16,Piece,1000,1250,3,,,,,,,Carton,,4000,5000,0.8,,,
